avg_temp,min_temp,max_temp,wind_speed,air_pressure,elevation,rainfall,PM2.5,rainfall_flood,water_level,elevation_flood,flood_occurred,risk
-2.2,-6.6,-0.8,2.2,1020,2652,0.1,88.04,218.9994932969911,7.415552031175952,377.4654334650955,1,1
-3.6,-4.6,-1.8,3.7,1019.5,2652,4.4,83.67,55.35359867961347,8.811018750963168,7330.608874898443,0,0
-3,-4.5,-1.1,2.1,1022,2652,2.3,81.76,103.9919083109658,4.63179875379001,2205.873487831239,1,1
-3.3,-5.1,-1.2,2.8,1015.6,2652,35,86.84,198.9841910573455,2.891787316734076,2512.277799820728,0,0
-3.9,-8.3,-1,3.4,1015.3,2652,25.5,95.95,144.626803357344,3.188465743554615,2001.818222830762,0,0
-7.5,-10.8,-1.6,5,1015.1,2652,0,101.91,221.5713115904682,6.969482583643939,7433.062835803919,1,1
-9.2,-13,-3,5.7,1012.9,2652,0,101.3,288.362370366858,5.675580339914962,8661.324855354962,1,1
-9.3,-13.1,-4,4.1,1015.3,2652,0,97.5,34.96400631455925,4.864941309772571,6681.891487428953,1,1
-6.8,-12.9,-0.2,3.6,1015.8,2652,0,94.06,212.8703149194183,2.02774078776174,7287.016909431395,0,0
-4.4,-9.6,-0.8,3.4,1017,2652,0,89.99,69.10324668963436,8.754556874989033,5490.1880746751,0,0
-1.8,-9.2,0.5,2.8,1018.6,2652,0,82.15,124.3430182222708,7.810204475074061,4678.600389492043,1,1
1.2,-7.6,3.6,2.4,1017.7,2652,0,76.31,9.858817738541948,1.406386017392296,6384.522186386477,1,1
2.8,-6,4.1,2.1,1017.7,2652,0,75.74,40.77221468780968,3.673884546021367,316.4299516774373,0,0
2.4,-4.6,4.5,2.6,1014.9,2652,0,75.96,95.9331867146699,5.421320936388914,543.2718505388541,0,0
1.9,-4,3.8,1.8,1016.2,2652,0,89.42,102.5957415863955,4.54338622771532,6080.995826922073,0,0
1.7,-3,4,3,1015,2652,0,94.87,269.8755649386287,3.977958387377384,2964.69904666629,1,1
-2,-6.8,2,3.2,1018.3,2652,0,104.22,222.5438727799545,7.188318975605293,4325.206385854334,0,0
-3.4,-5.2,-0.2,4,1017.5,2652,0,109.96,291.6548904561123,0.5450350423783745,6919.070203262884,1,1
-2.4,-4.4,-0.4,3.4,1018.5,2652,0,114.09,179.7214531005721,4.714103391259419,5106.693173584551,1,1
-0.4,-2.6,2,4.7,1018.3,2652,0,113.58,72.51411962739539,2.621816903896014,7124.957067018735,0,0
-4,-7.3,-0.2,7.1,1011.6,2652,0.5,104.38,98.29650897649286,0.8461838523475895,3708.685582725854,1,1
-5.5,-8.8,-2.8,4.5,1011.4,2652,26,104.19,95.95077698759012,4.648871580029655,2543.121827092228,0,0
-5.4,-9.6,-2.8,2.7,1015.8,2652,0,99.09,97.94829829897547,1.713686910705687,2077.836969804471,0,0
-5.2,-9.6,-2.3,2.4,1018.2,2652,0,95.64,201.8892519335447,2.582242818902087,1165.113055095648,0,0
-5.4,-8,-1,2.5,1016.7,2652,0,92.77,159.2423784271249,5.070087295100759,325.5756290799835,0,0
-5.2,-7,-1,2.3,1016.8,2652,0,86.99,115.6272534259933,9.737089799328215,470.2624907667637,1,1
-5.5,-11.4,-3,2.3,1017.3,2652,0,86.93,44.72693061861498,6.842550068035559,2397.79762247114,0,0
-6.4,-9.6,-4,2.3,1019,2652,0,94.87,6.641748882643772,2.796217981568248,2463.394634760756,0,0
-4.1,-7.6,-1.8,2.5,1017,2652,0,95.76,65.65040327630778,3.824060525753765,3378.029512885848,0,0
-2.2,-6.6,0,2.8,1016.3,2652,1.5,100.62,32.24142119060438,4.061331523209772,5234.630500727145,1,1
-4.2,-7.6,-0.2,2.6,1025.8,2652,2.5,109.04,235.6335092556718,1.536376233443771,6718.282286848474,1,1
-3.1,-5.2,1,2.5,1020.9,2652,0.5,106.15,33.74938734416561,1.606541888596808,1749.293911303884,1,1
-5.4,-7.9,-2.4,2.5,1021.8,2652,3.2,93.71,217.2684711920508,1.483947234873645,6717.827866547857,0,0
-5.2,-6.8,-2.2,2.6,1020.1,2652,1,85.37,115.6976069328248,5.216641377369169,1229.779341898022,1,1
-4.5,-6,-3.1,2.5,1017.7,2652,0,78.6,22.01351692313279,6.741860867397083,8747.961155863997,1,1
-1.8,-9,1.2,2.9,1019.2,2652,0,77.49,243.8190148294757,5.907206846108267,2521.978912714964,0,0
2.2,-3,4.3,2.3,1022.2,2652,0,74.99,173.889171070984,9.777671854533486,7408.740210102313,1,1
3.7,-1,6,3.6,1024.8,2652,0,68.59,70.72845385907192,1.258745722576519,1685.241645163229,1,1
1,-1.2,3.8,3.8,1019.8,2652,0.1,86.26,268.4043522998004,9.864744063027551,8411.287321308848,1,1
0.2,-1.8,2.4,2.4,1019.5,2652,0,93.23,13.57749416116544,4.666739338878919,7313.993795557651,0,0
0.7,-1.2,3.1,3.4,1019.6,2652,0,101.96,60.54588245932887,2.186327877771377,3179.876177320158,1,1
0.9,-1,3.4,2.3,1020.8,2652,0,118.47,225.6140783417583,9.432808260057572,3729.181832487273,0,0
1.6,0,4,2.7,1019.2,2652,0,112.09,212.8133790929668,4.686133101445926,33.95856669129245,0,0
0.8,-1,5.2,2.2,1019.6,2652,0,106.6,86.7815081173434,3.473469552105204,2224.672497681122,0,0
-0.2,-1.9,3.8,1.8,1017.2,2652,0,103.79,18.60746260583494,2.138101038179566,2559.695042262867,0,0
-0.9,-2.6,4.6,1.9,1017.6,2652,0,101.69,257.4234216674831,2.678754511158021,4005.832008397447,0,0
-0.6,-2.2,4.8,2,1019.6,2652,0,97.73,94.10929142097078,9.792195102272194,1230.312754229235,0,0
-0.4,-2.4,1.8,2.4,1022.9,2652,0,96.24,58.71402447847957,3.039734399047743,4236.129426105662,1,1
1.7,-1.6,3.6,2.3,1025.2,2652,0,89.31,154.8185467082931,9.77805923759605,5914.609158989542,0,0
3.1,1.2,5.1,3.3,1024.3,2652,0,86.77,273.0681597847342,3.302149866120871,3285.105773972082,0,0
2.6,0.7,5.3,2.8,1023.9,2652,0,87.5,13.0639733530126,2.31418465588562,2054.463798203774,0,0
1.7,-0.4,4.4,4.8,1023.3,2652,1.5,88.57,229.7412264092663,1.833641829018473,4846.19547656806,1,1
0.7,-2.5,4,4.6,1019,2652,7.8,92.49,171.7419683816127,4.11854505273997,256.6265333925309,0,0
-0.5,-4.5,6,4.4,1018.6,2652,0.4,99.94,127.6347349655451,2.368064485350272,3015.729764470012,0,0
0.5,-1.5,3.6,4.3,1017.6,2652,8.7,94.68,223.224133231518,6.969379638270531,4668.118469250108,0,0
1,-0.2,2.4,5.1,1010,2652,35.6,87.67,289.7473273324897,2.397717353639784,2971.537237724526,1,1
-0.9,-5.9,0.9,4.3,1007,2652,15.6,81.91,68.76186334880731,8.35396844997869,3056.377258110926,0,0
-2.9,-7.1,1,3.2,1013.1,2652,0.2,76.42,43.09420952163588,8.34011258488167,7505.728871013975,0,0
-2.3,-5.8,1.4,3.2,1018.7,2652,0,66.51,273.8645235668091,2.855263740480662,8263.959333102815,1,1
0.3,-3,4.3,3.1,1020.5,2652,0,62.34,200.6859232371911,7.535401304868298,7320.770143740932,1,1
-0.1,-4.3,5.4,3.4,1017,2652,0,60,131.3958064685898,8.575458759794532,874.7791982944723,1,1
-0.3,-2.5,5,3.3,1020.1,2652,0.3,63.54,171.9778710792849,5.901328439371466,2563.641147883055,1,1
0.2,-2.7,6.4,3.6,1018.9,2652,0,71.3,223.6841715528732,3.663324108640549,6293.53255648785,1,1
1,-2.4,5,2.7,1017,2652,1.3,74.44,231.9095696117152,4.409671867126791,8621.427450183519,1,1
-0.1,-2.9,4.6,5.1,1015.6,2652,20.2,83.78,275.9682542456894,7.862288650347819,2143.707140863274,1,1
0,-1.8,1.7,3,1020.6,2652,6.6,86.55,128.0528366686868,2.933174639968141,7947.366318982131,0,0
0,-2.5,2.8,2.5,1023.9,2652,0,87.94,88.02327300581851,3.34462334376194,6538.804606418827,1,1
0.3,-1.5,2,3,1021.7,2652,1.3,84.99,191.8992800369525,1.607843362578507,8701.5688417261,1,1
0,-1.1,1,3.7,1021.9,2652,19.4,77.42,124.7183697838591,3.990524030130026,828.0443424508633,0,0
0.2,-1,1.5,3.7,1024.4,2652,21.6,77.36,178.3795361846934,0.8651513224948593,3492.710380011994,0,0
1.8,-1,4.1,1.7,1028.4,2652,0,75.97,125.995739536785,3.210344409891115,4230.36154065566,1,1
1.3,-1,2.4,3.2,1020.2,2652,7.2,73.65,45.89873600345234,3.73479380947857,5946.587068164029,1,1
1.7,-1,4.4,2.1,1021.1,2652,0,74.64,140.8280254976875,2.554791324241321,5786.344576962341,1,1
1.7,-0.1,5.6,2.7,1021.2,2652,0.4,73.45,207.2753465823099,1.013581191349882,8019.343610031513,0,0
1.2,-2.1,4.2,2.7,1021.1,2652,0.1,75.09,239.7851423002949,5.216672425615551,7420.57978866156,1,1
1.7,-0.3,4.2,2.8,1022.2,2652,0,75.74,147.9978830389641,8.650811697554708,489.9373745703575,1,1
2.6,0.5,7.8,2.5,1023.1,2652,0.1,82.97,49.57136706312028,3.356447458004705,4304.907008391481,0,0
3.5,1.4,9,2.6,1019.9,2652,0,85.03,124.4063128948295,2.368015714201387,3601.677764978593,0,0
1.9,0.5,4.6,2.9,1016.2,2652,17.4,87.7,235.8881786525095,2.850382176905034,8822.735301576517,1,1
1.2,-0.3,2.1,2.5,1018.9,2652,26.5,81.85,123.8577811851218,8.618871813042368,3780.380502675259,1,1
0.4,-1.8,1.7,3.3,1018.5,2652,37.6,76.97,208.9592380812667,5.278075896077976,6039.814150743769,1,1
-0.3,-1,0.8,2.1,1022.4,2652,15.4,66.63,152.1641045034269,1.307903512707748,2516.631624368664,0,0
1.4,-1.6,4.1,3.5,1024.9,2652,0,62.37,72.36693753281901,7.092216490554625,5438.237001956951,1,1
5.3,0.6,8,2.5,1023.3,2652,0,58.39,238.8451524069223,1.543689332334495,1828.289568095898,1,1
6.9,5,10.2,2.6,1022.2,2652,0,60.15,25.26403622120611,0.6024440294223665,5340.711689187766,1,1
5.4,3.6,7.1,4,1017.5,2652,8.2,61.3,157.4670848265452,2.556848764979173,7681.747231026457,1,1
4.5,2.4,6.2,4.8,1009.6,2652,16.2,65.2,62.66731027302149,1.680901795167659,170.2159787132092,1,1
2.5,-3.2,4.6,4.5,1006.4,2652,0.5,61.04,20.1196885624127,6.049974743746681,4464.580551604133,0,0
2.8,-2.3,6.1,2.8,1005.3,2652,0,58.11,150.8801811249746,4.845664073400418,8692.01528430541,1,1
3.6,1.4,6.3,2.6,1007.7,2652,0,60.25,149.8686467804771,7.240645504928672,1409.154798622736,1,1
1.5,-1.1,6.2,3.4,1005.9,2652,0,65.06,212.0702705027162,5.115710502602458,1622.832278576565,1,1
1.8,-1.7,7.6,4.1,1017.5,2652,0,73.82,223.4252079155714,4.190059352093876,4165.848284306453,0,0
3.4,1.5,6.7,2.4,1022.6,2652,9.8,84.12,218.337446607869,5.262186904377431,7706.547659532493,0,0
3.3,1,5.4,2.7,1021.9,2652,6,88.24,122.8676198750265,4.344861130877779,4979.297024299588,0,0
2.8,0.6,4.1,2.8,1017.7,2652,24.5,86.59,189.5069361679688,0.3708689391403952,4501.054087160528,1,1
1.6,-1.2,4.2,2.9,1018.9,2652,9.1,84.26,173.0835727931881,6.8069911299624,767.6264589576881,1,1
1.8,-0.5,6.6,1.7,1017.2,2652,1.2,82.12,126.4685268350759,9.621303262144554,8511.652256956777,0,0
2,-1,7.8,2.8,1022,2652,0.3,79.3,179.163808255798,4.220335570360464,3071.281761732379,1,1
3.4,0.8,7,2.5,1025.7,2652,1.4,74.75,284.1743630118788,4.237329837680467,2227.989682201634,1,1
2.9,1.4,4.9,2,1027.1,2652,8.3,71.21,57.86812310441321,0.4576887863724654,3643.110423086521,1,1
4,1.8,6.6,2.8,1028.9,2652,3.1,67.43,271.7316287356579,8.903790846867484,3664.683766773093,0,0
5.2,3,8.6,2,1027,2652,0.5,72.46,16.03665419495951,9.291213874629298,4057.100946025871,0,0
5.4,3.4,8,2.2,1025.2,2652,0.4,66.39,92.5167638704982,8.131391180141431,6092.186010226853,1,1
3.2,1.9,4.6,3.1,1022.7,2652,18.2,70.02,86.44357458345847,1.063454715418567,7679.591239100788,1,1
3.1,0.4,4.3,2.9,1019.8,2652,22.4,68.49,187.9095323642717,9.002236811539392,507.1043633624237,1,1
2.6,1.2,3.9,3.5,1016.8,2652,24.7,71.77,39.36748553318709,0.2395566339504085,4342.320260171008,0,0
2.7,1,4.5,2.7,1020.7,2652,2.5,61.3,264.7042835519261,4.445743232363087,3662.878448461085,1,1
3.1,-0.4,6.4,4.2,1019.1,2652,0.3,56.89,248.5654225395124,5.006236541013945,96.2672382209484,1,1
4.4,2.7,7.1,2.7,1015.8,2652,1.8,69,195.6197459055833,8.340021010263388,7224.298661585338,1,1
3.2,0.1,6.4,3,1013.9,2652,1,56.29,137.5241495376593,7.50859213453971,922.9632035161608,1,1
1.5,-0.3,2.9,2.8,1014.7,2652,12.6,61.84,279.8868126426235,7.970968964998858,1015.29038811798,1,1
1.7,-1.2,4.2,3.9,1016.9,2652,1.1,60.35,249.2239664161668,8.679009495573746,427.3444029214709,0,0
5.5,2.6,9.6,4.1,1023.7,2652,0,55.64,149.7945444243735,4.760709204927257,1773.330615990553,1,1
7.4,5.1,9.6,2.9,1023.2,2652,0,54.26,210.5620063362934,7.802523535171715,1564.4704591942,1,1
8.3,5.5,14.4,2.8,1022,2652,0,60.5,170.0789856539054,0.6803309440543892,3077.916917711002,0,0
9,6.9,15.4,3.2,1023.2,2652,0,67.44,176.3826715164793,4.445464227505388,5833.224448333112,0,0
9.3,7,14.6,3,1021.6,2652,0.1,79.19,99.2928208312414,0.3013267486964111,480.3953260567824,0,0
8.8,6.4,12.4,2.8,1023.4,2652,0.8,82.76,138.625381387469,9.15315065318594,7611.719926026511,1,1
8.7,6.4,11.8,2.7,1022.2,2652,1.4,84.28,23.43642923692326,9.584137819529207,2889.567588674806,1,1
8.6,6.3,11.8,2.7,1021.6,2652,1.8,80.04,107.2046074993777,0.8393906028816278,5367.261665324393,1,1
9.4,7,14,3.2,1023.6,2652,0.9,77.19,208.7485546086456,5.326266444077605,106.2212328407539,0,0
9.9,6.4,14,2.9,1020,2652,0,74.96,285.9648091518559,3.251396063368692,3236.668432524912,0,0
8.8,5.6,13.2,3.3,1017.3,2652,7.2,74.1,288.9192338289061,3.425342846628781,18.14646853869893,0,0
6.8,2.8,9.6,2.5,1020,2652,5,72.76,166.7168607374675,4.507000613754847,1463.974804611213,0,0
7.6,3.1,11.4,2.7,1020.7,2652,0.9,71.26,181.9866755428747,1.250659652545507,3962.580608810226,0,0
6.8,2.5,10.6,2.7,1021.9,2652,3.4,69.26,55.71635565029025,1.807701987839127,4734.453509411386,1,1
7.4,2.6,12.2,2.9,1021.1,2652,1.2,67.57,208.5924324280592,5.773686601279447,1353.112250334466,1,1
8.7,2.7,13,2.9,1019.3,2652,1.1,70.06,21.19763780231587,0.1875590943748828,6593.673624343292,1,1
9.4,5.6,13,3.3,1018.1,2652,1.8,73.38,85.40570573983337,5.998010220142007,1672.304432526309,0,0
7.7,4.1,11.4,2.5,1015.8,2652,7.6,76.8,200.5090041856327,3.189171877866693,1024.997375405643,0,0
7.2,4.1,9.4,2.6,1012,2652,3.5,76.54,93.0930394630468,8.322064148040017,2950.140088910871,1,1
6.3,3.8,9,2.7,1012.3,2652,3.1,76.24,14.9540622343363,6.000065077286838,4879.040816072114,0,0
6.9,3.8,11.6,2.4,1013.1,2652,2.5,72.35,249.5611228052892,7.080912007121719,8749.803271681933,1,1
6.8,4.3,10.1,2,1016.7,2652,1.5,69.55,93.09900214036892,1.144251812379453,3704.796775811809,1,1
7.5,4.4,10.2,2,1021.6,2652,2.4,61.49,18.93156745760353,2.658623646816886,3769.216299758196,0,0
8.5,5.5,12.4,3,1024.3,2652,1.8,56.57,22.43644935085955,9.966696089720363,524.9825435909838,1,1
9.8,6.2,14.5,2.3,1021.3,2652,0.2,69.67,75.52763963662609,4.336522469092237,6775.972468113517,1,1
9.4,5.1,13.4,2.2,1016.8,2652,4.2,76.42,53.40478416645787,3.588652053242096,1608.416000466512,1,1
9.2,5.2,13.8,3.2,1011.8,2652,1.4,76.35,232.2900353340453,8.738553589772742,6590.021939097505,1,1
7.3,4,10.8,3.3,1017,2652,10.3,72.93,96.50521400011031,0.3307460886313484,8057.138134154521,0,0
7.8,5.2,11.8,2.6,1018.3,2652,3.9,69.2,241.4087355119497,5.347733616761196,6797.217302984364,0,0
7,3.6,10,2.3,1018.3,2652,4.9,71.05,52.15379934694584,2.102572137859243,5684.427863807277,0,0
7.7,3.8,12.4,2.9,1019.2,2652,0.8,66.08,147.8637538632251,3.681527914537632,5343.451382483396,0,0
8.9,5,12.6,2.8,1016.6,2652,0.7,59.33,206.4111400659386,1.99777071870328,4013.743832083854,1,1
11.1,7.1,15.4,3.9,1013.8,2652,1.9,58.61,195.5972561597564,0.3782275954870773,1278.913766389703,0,0
13.3,9.7,17.4,3.2,1016.8,2652,1.6,55.82,180.3388229790806,4.165121339685567,6891.164013509264,0,0
14.6,10.8,19.6,3,1017.8,2652,0.1,55.06,277.4464805793509,7.892030211950896,4223.34744843367,0,0
14.2,11,17.9,2.9,1020.7,2652,3.1,58.31,68.55754431202331,9.51954432626891,5535.714243104181,1,1
13.8,10.8,20,3.7,1018.5,2652,1.7,62.98,148.1157613386316,6.238529746100124,3309.286745426139,1,1
12.1,8,15.3,3.4,1013.2,2652,3.1,66.22,265.1977650217226,3.888370923527215,1775.994623732483,0,0
10.3,6.7,13.6,3.7,1014,2652,10.1,69.2,23.36812967854712,7.698552735473022,7135.986887598548,1,1
11.5,8,14.5,4.1,1014.7,2652,5.9,67.83,16.76648047592257,5.052239834292209,3029.553479716896,1,1
12,8.8,14.9,3.3,1018.3,2652,8.7,63.56,69.99068626748742,3.676202798906616,7668.384896339052,1,1
12.9,9.4,16.4,3.4,1018.2,2652,1.3,57.32,189.9063658614056,1.790896925529747,8544.733937520688,1,1
14.3,10.5,17.8,4.7,1018.4,2652,0,53.23,77.96388793494206,7.961299843370574,7343.738488727859,1,1
15.6,12.1,19.5,4.3,1017.8,2652,0,47.71,57.07196514263969,5.004257905170166,1133.765424733447,0,0
17,12.4,21,3.8,1017.5,2652,1.4,49.6,137.6406946074876,9.638037413110627,7565.13668525866,0,0
18.9,16.1,23.4,3.1,1015,2652,0,50.14,184.0794206308234,8.0190960034872,4595.27803925628,0,0
18.5,13.2,23.8,2.9,1012.6,2652,0.2,59.02,74.56731210502213,4.20016119142277,2136.009844742376,0,0
18.3,13.2,23.6,4.1,1011.8,2652,0,62.92,90.20735601712262,7.408500408674572,824.2445855241368,0,0
17,11.9,21.5,4,1010.2,2652,0.3,69.19,184.0677914434541,4.53391492852071,2464.255056621485,0,0
15.7,11.9,19.8,3.2,1010.2,2652,1.5,72.09,283.7215265968358,0.7986572841426465,1215.95482309515,0,0
13.6,10,16.9,2.6,1010,2652,5,74.25,202.4225182314265,5.166810515582188,226.9032633182768,0,0
12.1,8.3,15.6,2.9,1007.6,2652,3.6,68.79,234.871243075368,8.657286195341495,8739.738960961626,0,0
11.3,8.2,14.7,3.1,1002.9,2652,10.4,67.5,110.0430284266406,8.554413185170164,7357.485813869977,0,0
11.1,7.6,15,2.6,1005.2,2652,3,64.85,81.67630781533983,5.749669136399747,6538.223079881015,0,0
10.5,5.9,14.5,2.3,1010.5,2652,3.6,63.37,136.2803229607867,3.8002353641485,1707.785847518131,0,0
